model_id,organization,model_name,directory,reason
laion/CLIP-ViT-B-16-DataComp.XL-s13B-b90K,laion,CLIP-ViT-B-16-DataComp.XL-s13B-b90K,CLIP-ViT-B-16-DataComp_XL-s13B-b90K,duplicate_model_name
OrcaDB/gte-base-en-v1.5,OrcaDB,gte-base-en-v1.5,OrcaDB__gte-base-en-v1_5,duplicate_model_name
Supabase/gte-small,Supabase,gte-small,Supabase__gte-small,duplicate_model_name
Xenova/bart-large-mnli,Xenova,bart-large-mnli,Xenova__bart-large-mnli,duplicate_model_name
Xenova/bert-base-NER,Xenova,bert-base-NER,Xenova__bert-base-NER,duplicate_model_name
Xenova/bge-base-en-v1.5,Xenova,bge-base-en-v1.5,Xenova__bge-base-en-v1_5,duplicate_model_name
Xenova/bge-m3,Xenova,bge-m3,Xenova__bge-m3,duplicate_model_name
Xenova/bge-reranker-base,Xenova,bge-reranker-base,Xenova__bge-reranker-base,duplicate_model_name
Xenova/bge-small-en-v1.5,Xenova,bge-small-en-v1.5,Xenova__bge-small-en-v1_5,duplicate_model_name
Xenova/clip-vit-base-patch16,Xenova,clip-vit-base-patch16,Xenova__clip-vit-base-patch16,duplicate_model_name
Xenova/clip-vit-base-patch32,Xenova,clip-vit-base-patch32,Xenova__clip-vit-base-patch32,duplicate_model_name
Xenova/distilbert-base-uncased-finetuned-sst-2-english,Xenova,distilbert-base-uncased-finetuned-sst-2-english,Xenova__distilbert-base-uncased-finetuned-sst-2-english,duplicate_model_name
Xenova/finbert,Xenova,finbert,Xenova__finbert,duplicate_model_name
Xenova/gte-small,Xenova,gte-small,Xenova__gte-small,duplicate_model_name
Xenova/jina-embeddings-v2-base-en,Xenova,jina-embeddings-v2-base-en,Xenova__jina-embeddings-v2-base-en,duplicate_model_name
Xenova/jina-embeddings-v2-small-en,Xenova,jina-embeddings-v2-small-en,Xenova__jina-embeddings-v2-small-en,duplicate_model_name
Xenova/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,Xenova,mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,Xenova__mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,duplicate_model_name
Xenova/multilingual-e5-small,Xenova,multilingual-e5-small,Xenova__multilingual-e5-small,duplicate_model_name
